問題,回答群１,回答群２,回答群３,回答群４,回答群５,回答群６,回答群７,回答群８,回答群９,正解
マイコンメーターに関する次の記述のうち、誤っているものはどれか。,圧力スイッチは、金属ダイヤフラムによる差圧検知方式でガス圧力のかかった状態ではOFF(通電停止)、ガス圧力が異常低下するとON(通電)になる構造である。,感震器は、少々の傾斜状態でも自動水平調整を行い、リセット不要な球振動式感震器である。,内管での少量漏れや口火を連続使用した場合等、30日間連続してガスが流れ続けた場合、ガス漏れ警報を表示する機能がある。,マイコンメーターの上流側ガス供給圧力が0.2kPaを下回った場合、遮断する機能がある。,Qmaxが25m/h以上のマイコンメーターでは、上ケース上部に、コントローラー、圧力スイッチ、遮断弁等を内蔵したコントロールボックスを取り付けている。,,,,,Qmaxが25m/h以上のマイコンメーターでは、上ケース上部に、コントローラー、圧力スイッチ、遮断弁等を内蔵したコントロールボックスを取り付けている。
口径300mmの鋼管を用い、長さ40mで両端固定された架管が冬の時期(管体温度は-10℃)に設置された。 夏期にこの架管全体の温度が40℃になったときに生じる応力を、架管途中に設けた伸縮継手で対処すると、設計変位量 (mm) として最も近い値はどれか。ただし、導管の線膨張係数は1×10 -5 (1/℃)、内圧は0.3MPa、ヤング率は2×10⁵N/㎟とする。,5,10,20,30,40,,,,,20
導管の腐食と防食に関する次の記述のうち、誤っているものはどれか。,導管の防食方法には、塗覆装による措置、電気防食による措置、絶縁による措置等がある。,鋳鉄管と鋼管が電気的に接続されている場合、鋳鉄管がアノードとなり腐食する傾向がある。,管対地電位とは、土壌、コンクリート等の電解質に設置した照合電極に対する導管の電位である。,防食設備の点検は、雨季等の土壌の湿潤期や電気鉄道の運行時等、防食状況の悪い時期や時間帯を選んで行うことが望ましい。,外部電源法は、導管の塗装の抵抗が低い場合や防食区間が長い場合に適している。,,,,,鋳鉄管と鋼管が電気的に接続されている場合、鋳鉄管がアノードとなり腐食する傾向がある。
導管の工事に関する次の記述のうち、正しいものはどれか。,酸素欠乏のおそれのある場所で作業を行う場合は、作業開始前に酸素濃度計により作業場所の空気中の酸素濃度が18%以上であることを確認し、その測定結果の記録を3年間保存しなければならない。,気密試験において、試験圧力は必ず最高使用圧力の1.1倍以上でなければならない。,フレキ管を屋外の露出配管で使用する場合は、2m以内の間隔で支持固定する。,ポリエチレン管のヒートフュージョン接合では、継手に設けられたインジケーターにより融着状態を確認する。,埋設後に埋設管の位置確認を可能とすべく、必要に応じて、標識シートを管に沿わせて設置する。,,,,,気密試験において、試験圧力は必ず最高使用圧力の1.1倍以上でなければならない。
溶接と非破壊試験に関する次の記述のうち、正しいものはどれか。,被覆アーク溶接棒の被覆剤(フラックス)には、溶接金属の凝固・冷却の速度を速める効用がある。,溶込み不良とは、溶接金属と母材又は溶接金属同士が溶着していない状態をいう。,放射線透過試験において、試験体の内部にきずがある場合、放射線フィルムで露光すると、きずのある部分は健全部より濃度が薄くなる。,ティグ溶接は、溶接ワイヤに被覆剤(フラックス)を含まないため、スラグが発生しない。,浸透探傷試験は、表面に開口したきずに適用でき、鋼のような強磁性体のみに使用できる。,,,,,ティグ溶接は、溶接ワイヤに被覆剤(フラックス)を含まないため、スラグが発生しない。
導管の維持管理に関する次の記述のうち、誤っているものはどれか。,中圧管の腐食による漏えい修理には、金属テープによる外面シールが適用できる。,樹脂ライニング系の更生修理工法は、本支管及び供内管の腐食漏えい予防として有効である。,半導体式ガス検知器は、検知感度が高いことから、地中埋設管のガス漏えい調査に適している。,サンドブラストによる供給支障は、大量の水道水がガス管内に流入し続けることがあるので、広範囲に至る場合がある。,需要家等からのガス漏えい等の通報に対しては、その内容に応じて、一般出動、緊急出動及び特別出動に区分し、適切な処理を行う。,,,,,中圧管の腐食による漏えい修理には、金属テープによる外面シールが適用できる。
地震対策に関する次の記述のうち、誤っているものはどれか。,設計地盤変位は、標準設計地盤変位量に管種と埋設条件の組合せによる補正係数と地域別の補正係数を掛けて求める。,断層の中で、最近の地質時代に繰り返し活動し、将来も活動することが推定される断層を活断層といい、地震の引き金となり得るものである。,二次災害を防止するとともに、供給停止地区の極小化を図るため、導管網を事前に適正な規模のブロックに分割しておく。,供給停止後、復旧までに相当の日数を要することが予想される場合は、需要家の不安を取り除くため、復旧の見通し等について積極的に広報活動を行う。,SI値は、地震による一般的な建物(ビル)の揺れの大きさを評価する指標であり、加速度の単位カイン(cm/s²)で表される。,,,,,SI値は、地震による一般的な建物(ビル)の揺れの大きさを評価する指標であり、加速度の単位カイン(cm/s²)で表される。
ガスの燃焼に関する次の記述のうち、誤っているものはどれか。,ガスの燃焼は酸化反応であり、反応が最後まで完結しないで中間生成物(一酸化炭素、水素、アルデヒド等)が発生している状態を不完全燃焼という。,ブンゼンバーナーにおいて、ガス圧が異常に低下したり、ノズルが詰まったりしてガス量が極端に少なくなると、フラッシュバックが発生する。,機器の燃焼室内の給排気不良により二次空気が極端に減少すると、リフティングが発生する。,燃焼反応が十分な速さで進まないと、イエローチップが発生する。,メタンと空気の混合ガスの燃焼範囲は、標準状態においてメタン濃度4%から75%である。,,,,,メタンと空気の混合ガスの燃焼範囲は、標準状態においてメタン濃度4%から75%である。
円形のノズルから噴出するガス量について、ノズルの口径を4倍、ガスの圧力を4倍にしたとき、ガス量は何倍になるか。次の値のうち、最も近いものはどれか。,4,8,16,32,64,,,,,32
家庭用ガス機器に関する次の記述のうち、誤っているものはどれか。,Q機能を搭載した瞬間湯沸器では、冷水サンドイッチ現象を緩和し、安定した湯温を得ることができる。,瞬間湯沸器のメインバーナーには、炎が短く燃焼室を小さくできるセミ・ブンゼンバーナーが一般に用いられる。,ふろ給湯器の設置方式には、浴室隣接設置形と設置フリー形とがある。,ハイブリッド給湯器は、電気ヒートポンプと潜熱回収型ガス給湯器で必要なお湯の量に合わせて効率的に運転を行うシステムである。,エコーネットライトは、HEMSとガス機器(燃料電池等)との接続に利用できる標準通信仕様である。,,,,,瞬間湯沸器のメインバーナーには、炎が短く燃焼室を小さくできるセミ・ブンゼンバーナーが一般に用いられる。
家庭用ガス機器に関する次の記述のうち、誤っているものはどれか。,こんろには、調理油過熱防止装置を利用して鍋が焦げ付き始めると自動消火するものがある。,グリルは、直火によって主として伝導熱で調理する機器である。,コンビネーションレンジは、ガスオーブンに電子レンジ機能が内蔵されたものである。,衣類乾燥機には、湿り空気を排出する排湿筒が取り付けられるようになっている。,赤外線ストーブには、放射体としてセラミックプレートを用いたものと、特殊耐熱鋼金網を用いたものとの2種類がある。,,,,,グリルは、直火によって主として伝導熱で調理する機器である。
コージェネレーションシステムと業務用ガス機器に関する次の記述のうち、誤っているものはどれか。,固体酸化物形燃料電池には、CO変成器が搭載されている。,吸収冷温水機は、冷媒に水を用いるノンフロン空調機である。,浸管式フライヤーには、油槽中の浸管内でガスを燃焼させて加熱する方式と、燃焼排ガスを通過させて加熱する方式とがある。,中華レンジには、火力を強力にするため、ブラストバーナーを用いたものがある。,遠赤外線ヒーターでは、セラミック特殊塗料で仕上げられた放射管等の表面から多量の遠赤外線が放射される。,,,,,固体酸化物形燃料電池には、CO変成器が搭載されている。
換気と一酸化炭素(CO)中毒に関する次の記述のうち、誤っているものはどれか。,自然換気における空気の流れを起こす力の種類には、風圧を利用したものと、空気の温度差によって生じる浮力を利用したものとがある。,必要換気量とは、室内の酸素濃度をある限界以上に保つための換気量の最小値のことである。,一人の成人男性が安静に座っている状態での必要換気量は、建築基準法関係法令では20㎥/hとされている。,換気扇に用いられるシロッコファンは、ターボファンに比べ効率が高い。,COは、ヘモグロビンに対する結合力が酸素の200～300倍強く、吸入により酸素欠乏症状をひきおこしやすい。,,,,,換気扇に用いられるシロッコファンは、ターボファンに比べ効率が高い。
給排気に関する次の記述のうち、誤っているものはどれか。,CF式ふろがまの排気筒トップに用いられる材料は、不燃性、耐熱性及び耐食性のあるものでなければならない。,BF式ふろがまを屋内に設置する場合は、設置する部屋に専用の給気口及び換気口は必要ない。,BF式ふろがまは、新規に浴室内に設置することはできない。,CF式ふろがまの逆風止めは、機器と同一室内に設置する必要がある。,FE式湯沸器では、排気筒の横引き長さと高さとの関係には特に規定がない。,,,,,BF式ふろがまは、新規に浴室内に設置することはできない。
ガス機器の安全装置、点火装置及び制御装置に関する次の記述のうち、誤っているものはどれか。,水位制御装置には、自動湯張り機能付き温水機器のように任意に設定された水位を保つものと、貯蔵湯沸器のように固定された一定の水位を保つものとがある。,点火時安全装置とは、燃焼室を持つガス機器の残留未燃ガスによる爆発点火を防止するためのものである。,瞬時点火装置では、熱電対の起電力が十分に発生するまでの間、コンデンサーの放電電流によりガス弁を開状態に保持している。,ガス量制御に用いられる比例電磁弁には、固定コイル式と可動コイル式とがある。,機械式温度制御装置における温度検出部の方式には、気体膨張式と液体膨張式とがある。,,,,,機械式温度制御装置における温度検出部の方式には、気体膨張式と液体膨張式とがある。
ガス機器とガス栓との接続及び警報器に関する次の記述のうち、誤っているものはどれか。,ヒューズガス栓には、作動流量の異なるいくつかの種類があり、使用機器のインプット等に応じて選択する必要がある。,ガスコンセントは、迅速継手を接続するだけで栓が自動的に開き、外すと閉じる構造となっている。,オンオフ機構を有するガス栓では、つまみが半開状態で接続具が外れた場合、ヒューズ機構が作動せずガスが流出する。,家庭用のガス警報器には、ガスを検出するセンサーを小型化かつ省電力化することで電池駆動を可能にしたものがある。,家庭用のガス警報器に使用されている検出方式は、半導体式、接触燃焼式及び熱線型半導体式に大別される。,,,,,オンオフ機構を有するガス栓では、つまみが半開状態で接続具が外れた場合、ヒューズ機構が作動せずガスが流出する。
